"Rk","Gtm","Date","Var.4","Opp","Rslt","PA","AB","R","H","X2B","X3B","HR","RBI","BB","IBB","SO","HBP","SH","SF","ROE","GDP","SB","CS","BA","OBP","SLG","OPS","LOB","X.","Thr","Opp..Starter..GmeSc.","Team","Field"
9,9,"Apr 12","","TEX","L,3-8",35,32,3,6,3,0,1,3,1,0,7,0,0,2,1,0,0,0,0.282,0.343,0.448,0.791,5,"9","R","A.Griffin(55)","LAA","Home"
10,10,"Apr 13","","TEX","L,3-8",36,33,3,7,0,0,1,3,3,0,11,0,0,0,0,1,2,0,0.276,0.337,0.434,0.771,6,"12","R","Y.Darvish(75)","LAA","Home"
11,11,"Apr 14","@","KCR","L,1-7",34,30,1,4,0,0,0,1,3,0,6,1,0,0,0,0,0,0,0.264,0.328,0.41,0.738,6,"9","L","D.Duffy(71)","LAA","Away"
12,12,"Apr 15","@","KCR","L,2-3",38,33,2,6,0,0,0,2,5,2,8,0,0,0,0,0,1,0,0.257,0.325,0.391,0.716,9,"10","R","N.Karns(61)","LAA","Away"
13,13,"Apr 16","@","KCR","L,0-1",30,28,0,2,1,0,0,0,2,0,11,0,0,0,0,1,0,0,0.245,0.313,0.373,0.686,3,"9","R","I.Kennedy(86)","LAA","Away"
14,14,"Apr 17","@","HOU","L,0-3",36,32,0,5,0,0,0,0,2,0,10,1,0,0,1,1,1,0,0.239,0.307,0.358,0.665,9,"10","R","C.Morton(58)","LAA","Away"
15,15,"Apr 18","@","HOU","W,5-2",38,35,5,9,1,0,2,5,3,0,11,0,0,0,0,1,0,0,0.24,0.308,0.365,0.673,6,"9","R","J.Musgrove(35)","LAA","Away"
16,16,"Apr 19","@","HOU","L,1-5",33,32,1,8,3,0,0,1,1,0,7,0,0,0,0,3,0,0,0.241,0.306,0.363,0.669,5,"9","L","D.Keuchel(63)","LAA","Away"
17,17,"Apr 20","@","HOU","L,1-2",35,31,1,6,0,0,1,1,3,0,12,1,0,0,0,1,2,1,0.238,0.305,0.359,0.664,7,"12","R","L.McCullers(73)","LAA","Away"
18,18,"Apr 21","","TOR","L,7-8",59,51,7,11,2,0,1,7,5,0,10,3,0,0,2,1,0,0,0.237,0.306,0.356,0.662,13,"12","R","M.Latos(37)","LAA","Home"
19,19,"Apr 22","","TOR","W,5-4",35,32,5,9,2,0,1,5,3,1,4,0,0,0,1,2,1,0,0.239,0.308,0.36,0.668,6,"9","R","C.Lawrence(40)","LAA","Home"
20,20,"Apr 23","","TOR","L,2-6",33,31,2,7,1,0,0,1,1,0,5,1,0,0,0,3,1,0,0.238,0.307,0.355,0.662,4,"10","R","M.Stroman(71)","LAA","Home"
21,21,"Apr 24","","TOR","W,2-1",33,27,2,5,1,1,0,2,4,1,5,1,1,0,0,2,1,0,0.236,0.307,0.353,0.66,7,"9","L","F.Liriano(48)","LAA","Home"
22,22,"Apr 25","","OAK","W,2-1",38,35,2,5,0,0,1,2,2,0,8,0,1,0,0,0,1,1,0.232,0.301,0.347,0.648,4,"10","R","J.Hahn(84)","LAA","Home"
23,23,"Apr 26","","OAK","W,8-5",42,39,8,14,3,0,0,7,2,0,8,1,0,0,0,0,1,0,0.238,0.307,0.351,0.658,10,"9","L","S.Manaea(37)","LAA","Home"
24,24,"Apr 27","","OAK","W,2-1",29,29,2,7,3,0,0,2,0,0,4,0,0,0,0,1,0,0,0.238,0.304,0.351,0.656,3,"9","R","K.Graveman(56)","LAA","Home"
25,25,"Apr 28","@","TEX","W,6-3",40,37,6,10,0,0,3,6,3,1,7,0,0,0,0,0,0,0,0.24,0.305,0.358,0.664,7,"10","R","N.Martinez(57)","LAA","Away"
26,26,"Apr 29","@","TEX","L,3-6",38,32,3,6,1,0,0,3,4,0,13,0,0,2,1,0,1,0,0.238,0.304,0.353,0.657,8,"10","R","Y.Darvish(64)","LAA","Away"
27,27,"Apr 30","@","TEX","W,5-2",42,36,5,10,2,0,2,5,6,1,2,0,0,0,1,1,0,0,0.239,0.307,0.359,0.666,10,"9","L","M.Perez(34)","LAA","Away"
28,28,"May 2","@","SEA","W,6-4",52,41,6,10,4,0,1,6,9,1,11,1,0,1,0,1,2,0,0.239,0.311,0.361,0.672,13,"12","L","J.Paxton(53)","LAA","Away"
29,29,"May 3","@","SEA","L,7-8",40,37,7,11,2,0,2,7,1,0,9,1,0,1,0,0,1,0,0.242,0.311,0.367,0.678,6,"10","R","H.Iwakuma(46)","LAA","Away"
30,30,"May 4","@","SEA","L,3-11",37,36,3,9,1,0,0,3,1,0,6,0,0,0,0,0,0,0,0.242,0.31,0.364,0.674,7,"9","L","A.Miranda(59)","LAA","Away"
31,31,"May 5","","HOU","L,6-7",38,36,6,10,0,0,2,6,2,0,6,0,0,0,0,2,0,1,0.243,0.31,0.367,0.677,2,"12","L","D.Keuchel(51)","LAA","Home"
32,32,"May 6","","HOU","W,2-1",32,29,2,5,1,0,0,2,3,0,6,0,0,0,0,1,0,0,0.241,0.308,0.362,0.671,5,"11","R","L.McCullers(73)","LAA","Home"
33,33,"May 7","","HOU","L,3-5",36,32,3,6,1,1,2,3,4,0,8,0,0,0,0,1,1,0,0.24,0.308,0.365,0.673,6,"10","R","M.Fiers(44)","LAA","Home"
34,34,"May 8","@","OAK","L,2-3",44,42,2,9,2,0,1,2,1,0,9,1,0,0,1,1,1,0,0.239,0.306,0.364,0.67,9,"11","R","K.Graveman(60)","LAA","Away"
35,35,"May 9","@","OAK","W,7-3",37,33,7,8,1,0,3,7,2,0,9,1,1,0,0,0,0,1,0.239,0.306,0.369,0.675,3,"9","R","J.Cotton(29)","LAA","Away"
36,36,"May 10","@","OAK","L,1-3",34,31,1,4,2,0,0,1,3,0,7,0,0,0,1,1,1,0,0.236,0.303,0.365,0.668,6,"9","R","A.Triggs(63)","LAA","Away"
37,37,"May 11","","DET","L,1-7",35,32,1,4,1,0,0,1,2,0,9,1,0,0,1,0,0,0,0.233,0.301,0.36,0.66,7,"10","R","M.Fulmer(72)","LAA","Home"
38,38,"May 12","","DET","W,7-0",40,36,7,13,2,0,2,6,3,1,5,0,1,0,1,1,1,0,0.237,0.303,0.366,0.669,9,"11","R","J.Zimmermann(31)","LAA","Home"
39,39,"May 13","","DET","L,3-4",37,34,3,8,1,0,1,3,2,0,9,1,0,0,0,0,1,1,0.237,0.303,0.365,0.669,7,"10","L","D.Norris(49)","LAA","Home"
40,40,"May 14","","DET","W,4-1",35,27,4,5,0,0,2,4,6,0,9,1,0,1,0,1,5,0,0.236,0.304,0.366,0.671,7,"9","R","J.Verlander(48)","LAA","Home"
41,41,"May 15","","CHW","W,5-3",34,30,5,6,2,0,3,5,4,0,5,0,0,0,0,0,0,0,0.235,0.304,0.371,0.675,5,"9","R","M.Pelfrey(41)","LAA","Home"
